,id,label,statement,subject,speaker,speaker_title,State,party_affiliation,barely_true,false,half_true,mostly_true,pants_on_fire,context,Polarity,sentiment_score,variation,sensational_value,label_value
0,10540.json,half-true,decline coal start started natural gas took started begin president george w bushs administration,"energy,history,job-accomplishments",scott-surovell,State delegate,Virginia,democrat,0,0,1,1,0,a floor speech.,1,1,0.098,0,2
1,324.json,mostly-true,hillary clinton agrees john mccain voting give george bush benefit doubt iran,foreign-policy,barack-obama,President,Illinois,democrat,70,71,160,163,9,Denver,0,1,0.099,0,1
2,1123.json,FALSE,health care reform legislation likely mandate free sex change surgeries,health-care,blog-posting,,,none,7,19,3,5,44,a news release,1,1,0.394,1,4
3,9028.json,half-true,economic turnaround started end term,"economy,jobs",charlie-crist,,Florida,democrat,15,9,20,19,2,an interview on CNN,1,0,0,0,2
4,12465.json,TRUE,chicago bears starting quarterbacks last 10 years total number tenured uw faculty fired last two decades,education,robin-vos,Wisconsin Assembly speaker,Wisconsin,republican,0,3,2,5,1,a an online opinion-piece,1,-1,0.077,0,0
5,2342.json,barely-true,jim dunnam lived district represents years,candidates-biography,republican-party-texas,,Texas,republican,3,1,1,3,1,a press release.,0,0,0,0,5
6,153.json,half-true,person stage worked actively last year passing along russ feingold toughest ethics reform since watergate,ethics,barack-obama,President,Illinois,democrat,70,71,160,163,9,"a Democratic debate in Philadelphia, Pa.",-1,1,0.035,0,2
7,5602.json,half-true,however took 19 5 million oregon lottery funds port newport eventually land new noaa marine operations center pacific,jobs,oregon-lottery,,,organization,0,0,1,0,1,a website ,1,0,0,0,2
8,9741.json,mostly-true,says gop primary opponents glenn grothman joe leibham cast compromise vote cost 788 million higher electricity costs,"energy,message-machine-2014,voting-record",duey-stroebel,State representative,Wisconsin,republican,0,0,0,1,0,an online video,1,0,0,0,1
9,7115.json,mostly-true,first time history share national popular vote margin smaller latino vote margin,elections,robert-menendez,U.S. Senator,New Jersey,democrat,1,3,1,3,0,a speech,1,1,0.208,0,1
10,4148.json,half-true,since 2000 nearly 12 million americans slipped middle class poverty,"economy,jobs,new-hampshire-2012,poverty",bernie-s,U.S. Senator,Vermont,independent,18,12,22,41,0,a tweet,1,-1,0.18,0,2
11,5947.json,FALSE,mitt romney governor massachusetts didnt slow rate growth government actually cut,"history,state-budget",mitt-romney,Former governor,Massachusetts,republican,34,32,58,33,19,an interview with CBN News,-1,0,0.02,0,4
12,8616.json,mostly-true,economy bled 24 billion due government shutdown,"economy,federal-budget,health-care",doonesbury,,,none,0,0,2,4,0,a Doonesbury strip in the Sunday comics,-1,0,0,0,1
