2635.json,FALSE,Says the Annies List political group supports third-trimester abortions on demand.,abortion,dwayne-bohac,State representative,Texas,republican,0,1,0,0,0,a mailer
10540.json,half-true,When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,"energy,history,job-accomplishments",scott-surovell,State delegate,Virginia,democrat,0,0,1,1,0,a floor speech.
324.json,mostly-true,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",foreign-policy,barack-obama,President,Illinois,democrat,70,71,160,163,9,Denver
1123.json,FALSE,Health care reform legislation is likely to mandate free sex change surgeries.,health-care,blog-posting,,,none,7,19,3,5,44,a news release
9028.json,half-true,The economic turnaround started at the end of my term.,"economy,jobs",charlie-crist,,Florida,democrat,15,9,20,19,2,an interview on CNN
12465.json,TRUE,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,education,robin-vos,Wisconsin Assembly speaker,Wisconsin,republican,0,3,2,5,1,a an online opinion-piece
2342.json,barely-true,Jim Dunnam has not lived in the district he represents for years now.,candidates-biography,republican-party-texas,,Texas,republican,3,1,1,3,1,a press release.
153.json,half-true,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",ethics,barack-obama,President,Illinois,democrat,70,71,160,163,9,"a Democratic debate in Philadelphia, Pa."
5602.json,half-true,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",jobs,oregon-lottery,,,organization,0,0,1,0,1,a website 
9741.json,mostly-true,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,"energy,message-machine-2014,voting-record",duey-stroebel,State representative,Wisconsin,republican,0,0,0,1,0,an online video
7115.json,mostly-true,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",elections,robert-menendez,U.S. Senator,New Jersey,democrat,1,3,1,3,0,a speech
4148.json,half-true,"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.","economy,jobs,new-hampshire-2012,poverty",bernie-s,U.S. Senator,Vermont,independent,18,12,22,41,0,a tweet
5947.json,FALSE,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.","history,state-budget",mitt-romney,Former governor,Massachusetts,republican,34,32,58,33,19,an interview with CBN News
8616.json,mostly-true,The economy bled $24 billion due to the government shutdown.,"economy,federal-budget,health-care",doonesbury,,,none,0,0,2,4,0,a Doonesbury strip in the Sunday comics
8705.json,barely-true,Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,health-care,george-will,Columnist,Maryland,columnist,7,6,3,5,1,"comments on ""Fox News Sunday"""
10683.json,half-true,"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",elections,bernie-s,U.S. Senator,Vermont,independent,18,12,22,41,0,"a town hall in Austin, Texas"
620.json,TRUE,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,federal-budget,barack-obama,President,Illinois,democrat,70,71,160,163,9,a radio ad
3863.json,barely-true,"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out",federal-budget,national-republican-congressional-committee,,,republican,18,9,8,5,8,a news release
12372.json,half-true,"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.","financial-regulation,foreign-policy,water",gwen-moore,U.S. House member -- 4th District,Wisconsin,democrat,3,4,4,3,1,a congressional hearing
12385.json,mostly-true,"Almost 100,000 people left Puerto Rico last year.","bankruptcy,economy,population",jack-lew,Treasury secretary ,"Washington, D.C. ",democrat,0,1,0,1,0,an interview with Bloomberg News
10173.json,FALSE,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,"economy,income",dennis-richardson,state representative,Oregon,republican,0,4,1,2,0,a campaign debate
9867.json,mostly-true,The United States has the highest corporate tax rate in the free world.,"corporations,taxes",eric-bolling,"Co-host on Fox News Channel's ""The Five""",,none,2,1,1,1,0,"a discussion on Fox News' ""The Five"""
12408.json,mostly-true,We just had the best year for the auto industry in America in history.,economy,hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,remarks at a Kentucky rally
2673.json,half-true,"Says Scott Walker favors cutting up to 350,000 families and children off health care.","health-care,message-machine",greater-wisconsin-political-fund,,Wisconsin,none,3,3,3,1,1,a campaign TV ad
7057.json,barely-true,Says Mitt Romney wants to get rid of Planned Parenthood.,"abortion,federal-budget,health-care",planned-parenthood-action-fund,Advocacy group,"Washington, D.C.",none,1,0,0,0,0,a radio ad
10215.json,FALSE,I dont know who (Jonathan Gruber) is.,health-care,nancy-pelosi,House Minority Leader,California,democrat,3,7,11,2,3,a news conference
12517.json,mostly-true,Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,"crime,diversity,homeland-security,terrorism",hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,a speech after a terrorist attack in Orlando
3910.json,half-true,Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,candidates-biography,ted-nugent,musician,Texas,republican,0,0,2,0,2,an oped column.
